"","Age","Lx"
"1",0,100000
"2",1,99511
"3",2,99473
"4",3,99446
"5",4,99424
"6",5,99406
"7",6,99390
"8",7,99376
"9",8,99363
"10",9,99350
"11",10,99338
"12",11,99325
"13",12,99312
"14",13,99296
"15",14,99276
"16",15,99250
"17",16,99213
"18",17,99163
"19",18,99097
"20",19,99015
"21",20,98921
"22",21,98820
"23",22,98716
"24",23,98612
"25",24,98509
"26",25,98406
"27",26,98303
"28",27,98198
"29",28,98091
"30",29,97982
"31",30,97870
"32",31,97756
"33",32,97639
"34",33,97517
"35",34,97388
"36",35,97249
"37",36,97100
"38",37,96939
"39",38,96765
"40",39,96576
"41",40,96369
"42",41,96141
"43",42,95887
"44",43,95606
"45",44,95295
"46",45,94952
"47",46,94575
"48",47,94164
"49",48,93720
"50",49,93244
"51",50,92736
"52",51,92196
"53",52,91621
"54",53,91009
"55",54,90358
"56",55,89665
"57",56,88929
"58",57,88151
"59",58,87329
"60",59,86460
"61",60,85538
"62",61,84558
"63",62,83514
"64",63,82399
"65",64,81206
"66",65,79926
"67",66,78552
"68",67,77078
"69",68,75501
"70",69,73816
"71",70,72019
"72",71,70105
"73",72,68070
"74",73,65914
"75",74,63637
"76",75,61239
"77",76,58718
"78",77,56072
"79",78,53303
"80",79,50411
"81",80,47390
"82",81,44234
"83",82,40946
"84",83,37546
"85",84,34072
"86",85,30575
"87",86,27104
"88",87,23707
"89",88,20435
"90",89,17338
"91",90,14464
"92",91,11852
"93",92,9526
"94",93,7498
"95",94,5769
"96",95,4331
"97",96,3166
"98",97,2249
"99",98,1549
"100",99,1032
"101",100,663
"102",101,410
"103",102,244
"104",103,139
"105",104,75
"106",105,39
"107",106,19
"108",107,9
"109",108,4
"110",109,2
"111",110,1
