"X","MlsNumber","Lat","Lng","BuyPrice","ConstructionYear","WalkScore","NbPieces","NbChambres","NbSallesEaux","NbSallesBains","NbFoyerPoele","NbEquipements","NbGarages","NbStationnements","NbPiscines","NbBordEaux","NbAnimals","NbCultures","IsNewPrice","IsNew","RevenuBrutPotentiel","Outremont","LaSalle","Mont.Royal","Ville.Marie","Le.Plateau.Mont.Royal","Hampstead","Le.Sud.Ouest","Riviere.des.Prairies.Pointe.aux.Trembles","Lachine","Dorval","Montreal.Nord","Lile.Bizard.Sainte.Genevieve","Kirkland","Dollard.des.Ormeaux","Senneville","Ahuntsic.Cartierville","Cote.Saint.Luc","Saint.Leonard","Montreal.Ouest","Pointe.Claire","Lile.Dorval","Mercier.Hochelaga.Maisonneuve","Cote.des.Neiges.Notre.Dame.de.Grace","Rosemont.La.Petite.Patrie","Saint.Laurent","Beaconsfield","Villeray.Saint.Michel.Parc.Extension","Westmount","Montreal.Est","Anjou","Pierrefonds.Roxboro","Sainte.Anne.de.Bellevue","Verdun","Baie.dUrfe","AP","C","ME","VE","I","X4X","MA","PP","AU","MPM","TE","X2X","TR","X3X","MEM","LS","MM","X5X","FE","COP","PCI","UNI","PPR","TER","FER","Population","Variation","Density","avgAge","below15","below24","below44","below64","below65","AvgIncome","below50000","below80000","below100000","below150000","above150001","avgSize","totalHouse","size1","size2","size3","size4","size5","totalFam","Children","NoChildren","Single","Unemploy","Owner","Renter","totaldwelling","before1960","before1980","before1990","before2000","before2005","before2011","Single.1","Semi","Duplex","Buildings","Mobile","belowBach","Bach","abvBach","University","College","Secondary","Apprentice","No","NonImmigrant","Immigrant","french","English","Others","PoliceDist","FireDist","LivingArea"
0,9041238,45.57388725,-73.64907888,475000,1959,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,0.688928547,0.575422029,NA
1,9066959,45.533876,-73.672649,200000,2011,63,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,2.289577457,2.054745872,720
2,9112562,45.52092453,-73.73879135,1480000,2007,18,12,5,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,3.062233612,1.349094362,NA
3,9115144,45.57350351,-73.64915737,85000,1955,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,0.649359621,0.535943821,NA
4,9173179,45.55578448,-73.63171779,369000,1984,49,6,3,1,1,0,0,1,1,0,0,0,0,0,0,12540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,2.019996605,1.123157048,1514
5,9287443,45.535936,-73.646941,159125,1964,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,1.423312589,0.975114321,1675
6,9292651,45.55399693,-73.62697755,299000,1983,66,4,2,0,1,0,0,3,1,0,0,0,0,0,0,49320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,1.814708359,0.852144531,920
7,9579902,45.56118163,-73.65799443,339000,NA,92,7,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,0.889686796,1.002332086,NA
8,9580398,45.54782136,-73.68390799,589900,2002,45,15,4,0,3,1,0,1,1,0,0,0,0,0,0,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,2.526170651,1.396956434,2722
9,9592573,45.55118193,-73.67109737,499000,1932,89,9,4,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,2.365190956,0.547947452,NA
