"DEWP","TEMP","Iws"
12,26,16.09
23,28,3.58
9,9,3.13
16,29,6.26
-13,9,33.08
-5,19,25.03
-19,8,10.73
-20,2,63.05
10,20,1.79
-17,-5,4.92
-3,8,15.65
8,18,60.81
-7,6,1.79
8,23,1.78
23,29,1.79
20,28,3.12
21,32,14.31
13,16,27.27
22,24,30.4
11,18,15.65
-14,-5,3.13
-20,7,0.89
-9,5,84.93
-27,4,8.05
-13,13,5.81
13,33,4.92
1,12,1.78
0,25,10.73
-26,-4,154.22
2,6,4.92
-15,6,65.72
-13,-1,7.15
-7,0,33.09
-15,-2,3.13
-1,5,0.45
-19,-4,0.89
-22,-5,105.5
-5,-1,0.89
17,29,1.78
-4,13,1.79
7,11,2.68
2,5,0.89
-3,5,43.8
21,24,1.78
14,16,1.79
24,27,0.89
3,11,0.89
20,34,11.18
18,32,38.45
-7,3,3.58
22,28,2.67
18,19,1.79
-11,-2,2.68
14,16,12.07
11,34,2.68
-2,10,70.16
-12,-9,7.59
-5,13,19.22
4,13,5.37
16,26,37.1
-9,3,1.79
3,11,1.79
5,8,7.15
1,2,0.89
23,26,0.89
16,18,9.84
-11,-6,9.83
20,22,1.79
-15,-5,13.41
-23,-7,447.04
8,18,4.92
-11,2,5.81
-13,2,299.92
-3,-1,0.89
20,21,2.67
13,18,2.68
16,17,3.13
-13,3,18.33
-6,5,1.79
-9,6,107.73
-14,4,156.46
-5,2,4.47
-20,3,3.13
10,14,16.1
-14,11,182.38
2,25,11.17
24,28,0.89
19,25,4.02
-15,-3,25.03
-7,-2,29.95
-24,-1,60.34
12,18,0.89
14,32,1.79
-12,-2,7.6
-23,-1,18.78
-22,-4,82.69
-8,0,4.02
20,34,0.89
-16,-5,2.67
-14,-9,4.47
9,14,33.98
-3,11,25.49
8,17,0.89
17,19,37.98
10,18,33.97
-12,-6,12.52
-12,9,51.86
-18,-1,40.69
7,14,49.84
-10,-6,0.89
13,17,0.89
-5,18,25.48
-5,2,5.37
12,26,3.13
18,19,1.78
22,28,1.79
12,23,0.89
19,25,9.84
22,27,33.09
-7,-5,4.47
-4,1,1.34
12,31,17.88
-7,-3,31.74
3,12,24.14
18,27,20.56
-24,-6,0.89
-19,22,17.43
22,28,29.51
21,22,1.79
2,7,15.65
-11,3,124.26
-6,1,0.89
0,5,4.92
-16,-2,15.65
7,9,1.79
10,17,10.29
7,25,66.62
12,16,2.67
-1,19,38.89
17,19,0.89
-26,-7,1.79
17,20,10.28
13,17,3.58
10,33,3.58
12,22,3.58
16,17,2.67
1,4,0.89
-1,2,1.79
15,18,7.15
7,9,4.47
-3,12,5.81
8,9,1.79
14,19,22.81
-18,-2,52.3
-18,1,4.92
14,25,1.78
-19,3,142.6
10,23,4.02
21,23,18.78
20,24,0.89
14,15,0.89
24,28,5.36
20,28,4.92
14,19,2.67
19,22,41.57
-20,-7,95.19
-4,10,0.89
-17,-2,43.36
2,11,4.92
-21,0,3.13
-19,1,0.89
-17,0,76.43
17,21,1.78
16,22,0.89
-11,-1,0.89
13,18,1.79
-3,4,1.79
-12,18,57.67
18,26,0.89
-7,-5,0.89
22,26,4.92
11,34,4.02
15,16,3.56
14,22,1.79
16,18,1.79
1,2,1.34
-15,10,80.91
-4,-3,1.79
-12,6,7.6
-3,2,3.13
-16,10,43.36
12,17,1.79
10,25,14.3
17,23,1.78
-19,-4,183.28
12,21,3.13
-2,22,4.92
19,19,0.89
-22,-3,29.95
-16,-10,11.18
16,25,10.28
17,18,4.92
1,9,2.68
-6,-1,0.89
-1,27,65.71
-16,-12,1.79
19,21,1.79
0,19,18.32
12,17,19.23
18,20,3.58
14,16,1.78
2,6,1.79
-9,-6,0.89
23,25,3.13
-20,0,0.89
-3,-3,3.58
-21,-3,106.83
8,10,0.89
-19,-1,3.13
17,29,5.81
23,25,20.13
-6,22,52.73
-15,14,4.92
2,10,8.05
12,16,0.89
12,20,149.76
8,25,3.13
-24,-4,19.67
-20,-10,4.47
-3,4,0.89
13,24,56.76
-5,20,91.63
15,27,3.13
-7,-4,1.79
-3,2,0.89
-17,11,3.13
-9,-3,33.98
17,20,3.58
-9,8,4.92
7,16,50.07
16,20,3.13
-18,11,45.15
21,24,1.79
22,23,9.84
4,6,1.79
-23,-5,61.24
-9,-5,11.17
7,26,28.62
18,28,37.1
-13,7,46.04
8,10,3.12
-7,26,13.86
22,24,0.89
-8,15,28.16
20,30,14.76
7,14,69.42
2,9,6.71
-15,9,4.02
14,22,18.77
-10,6,3.13
-14,3,148.88
-22,-14,3.13
-3,-1,0.89
-5,6,0.89
-8,13,46.48
11,25,66.61
19,24,31.73
11,16,0.89
-14,5,24.14
-2,12,8.05
10,13,3.13
-17,10,12.96
17,20,1.34
-13,7,13.41
21,28,14.3
-18,-14,2.68
18,21,12.97
5,6,26.38
2,7,14.75
5,6,45.59
-20,5,12.07
21,31,9.84
-23,1,6.71
7,18,1.79
-8,2,3.56
-3,22,12.96
-11,22,3.58
17,21,3.57
16,17,0.89
5,12,1.79
18,25,44.26
10,16,4.92
15,22,3.13
-3,6,3.58
-12,7,105.08
-15,11,4.02
-6,5,0.89
-5,4,7.15
18,26,1.79
20,27,1.78
2,6,4.47
-16,-4,0.9
-13,11,12.07
-1,19,4.02
19,20,1.78
5,10,50.96
19,21,1.78
23,23,3.13
-9,-2,1.79
-8,0,1.79
12,14,0.89
-6,0,11.63
12,22,2.68
20,21,0.89
19,21,3.13
-24,-9,23.7
17,22,2.67
-7,3,20.57
-22,2,181.94
