Rank,Country,iPadMini
1,Kuwait,242.9
2,Saudi Arabia,380.47
3,Malaysia,232.87
4,Canada,237.34
5,United Arab Emirates,259.71
6,Qatar,236.61
7,Japan,269.57
8,USA,224.2
9,Australia,352.06
10,Poland,301.2
11,UK,258.13
12,Hong Kong,260.16
13,Spain,311.64
14,Pakistan,292.42
15,Colombia,251.01
16,Germany,306.34
17,Turkey,367.88
18,China,284.61
19,Switzerland,306.34
20,Sweden,297.29
21,Myanmar,599.37
22,Sri Lanka,303.03
23,Panama,408.8
24,Kenya,540.62
25,Netherlands,528.94
26,Egypt,275.77
27,Dominican Republic,317.49
28,Italy,317.98
29,South Korea,302.4
30,Taiwan,272.91
31,Denmark,314.86
32,Romania,305.89
33,France,306.34
34,Hungary,274.08
35,Luxembourg,302.1
36,Thailand,384.4
37,Portugal,327.54
38,Mexico,263.26
39,Slovakia,465.34
40,Chile,430.8
41,Belgium,316.94
42,Austria,306.34
43,Ukraine,482.23
44,Vietnam,248.5
45,Ecuador,339.35
46,South Africa,357.4
47,Ireland,327.54
48,Russia,448.48
49,Czech Republic,294.21
50,Peru,542.3
51,Norway,348.74
52,New Zealand,285.61
53,Finland,327.54
54,Israel,377.36
55,Greece,316.94
56,India,382.35
57,Uruaguay,511.92
58,Argentina,483.04
59,Nigeria,342.98
60,Belarus,718.97
61,Bulgaria,319.18
62,Costa Rica,490.73
63,Philippines,392.38
64,Bangladesh,485.81
65,Indonesia,628.9
66,Croatia,353.78
67,Singapore,350.17
68,Guatemala,699.26
69,Brazil,525.04
70,Brunei,387.77
71,Angola,551.84
72,Venezuela,31228.64
