Date,Berri1,Boyer,Brébeuf,Cote_SainteCatherine,Maisonneuve_1,Maisonneuve_2,Maisonneuve_3,NotreDame,Parc,PierDup,Pont_Jacques_Cartier,Rachel_HoteldeVille,RachelPapineau,ReneLevesque,SaintAntoine,SaintUrbain,Totem_Laurier,University,Viger
01/01/2010,36,,0.0,,17.0,37.0,,,,,,,,,,,,,
02/01/2010,28,,0.0,,24.0,47.0,,,,,,,,,,,,,
03/01/2010,39,,0.0,,22.0,56.0,,,,,,,,,,,,,
04/01/2010,117,,0.0,,71.0,237.0,,,,,,,,,,,,,
05/01/2010,225,,0.0,,88.0,309.0,,,,,,,,,,,,,
06/01/2010,203,,0.0,,102.0,339.0,,,,,,,,,,,,,
07/01/2010,192,,0.0,,111.0,307.0,,,,,,,,,,,,,
08/01/2010,261,,0.0,,125.0,333.0,,,,,,,,,,,,,
09/01/2010,88,,0.0,,49.0,118.0,,,,,,,,,,,,,
10/01/2010,97,,0.0,,49.0,93.0,,,,,,,,,,,,,
11/01/2010,231,,0.0,,125.0,394.0,,,,,,,,,,,,,
12/01/2010,277,,0.0,,151.0,428.0,,,,,,,,,,,,,
13/01/2010,256,,0.0,,113.0,403.0,,,,,,,,,,,,,
14/01/2010,271,,0.0,,161.0,413.0,,,,,,,,,,,,,
15/01/2010,301,,0.0,,174.0,456.0,,,,,,,,,,,,,
16/01/2010,156,,0.0,,68.0,191.0,,,,,,,,,,,,,
17/01/2010,133,,0.0,,62.0,171.0,,,,,,,,,,,,,
18/01/2010,277,,0.0,,152.0,463.0,,,,,,,,,,,,,
19/01/2010,350,,0.0,,173.0,483.0,,,,,,,,,,,,,
20/01/2010,272,,0.0,,177.0,479.0,,,,,,,,,,,,,
21/01/2010,318,,0.0,,197.0,518.0,,,,,,,,,,,,,
22/01/2010,323,,0.0,,202.0,493.0,,,,,,,,,,,,,
23/01/2010,165,,0.0,,90.0,208.0,,,,,,,,,,,,,
24/01/2010,146,,0.0,,75.0,199.0,,,,,,,,,,,,,
25/01/2010,183,,0.0,,97.0,362.0,,,,,,,,,,,,,
26/01/2010,303,,0.0,,186.0,517.0,,,,,,,,,,,,,
27/01/2010,376,,0.0,,198.0,533.0,,,,,,,,,,,,,
28/01/2010,221,,0.0,,154.0,361.0,,,,,,,,,,,,,
29/01/2010,159,,0.0,,92.0,260.0,,,,,,,,,,,,,
30/01/2010,56,,0.0,,37.0,70.0,,,,,,,,,,,,,
31/01/2010,82,,0.0,,53.0,77.0,,,,,,,,,,,,,
01/02/2010,233,,0.0,,111.0,348.0,,,,,,,,,,,,,
02/02/2010,270,,0.0,,136.0,366.0,,,,,,,,,,,,,
03/02/2010,270,,0.0,,159.0,444.0,,,,,,,,,,,,,
04/02/2010,260,,0.0,,163.0,389.0,,,,,,,,,,,,,
05/02/2010,246,,0.0,,181.0,397.0,,,,,,,,,,,,,
06/02/2010,111,,0.0,,70.0,149.0,,,,,,,,,,,,,
07/02/2010,122,,0.0,,65.0,143.0,,,,,,,,,,,,,
08/02/2010,222,,0.0,,147.0,382.0,,,,,,,,,,,,,
09/02/2010,326,,0.0,,199.0,442.0,,,,,,,,,,,,,
10/02/2010,339,,0.0,,199.0,520.0,,,,,,,,,,,,,
11/02/2010,355,,0.0,,233.0,524.0,,,,,,,,,,,,,
12/02/2010,314,,0.0,,218.0,455.0,,,,,,,,,,,,,
13/02/2010,153,,0.0,,90.0,191.0,,,,,,,,,,,,,
14/02/2010,131,,0.0,,66.0,165.0,,,,,,,,,,,,,
15/02/2010,291,,0.0,,169.0,513.0,,,,,,,,,,,,,
16/02/2010,416,,0.0,,220.0,558.0,,,,,,,,,,,,,
17/02/2010,415,,0.0,,225.0,545.0,,,,,,,,,,,,,
18/02/2010,345,,0.0,,239.0,581.0,,,,,,,,,,,,,
19/02/2010,237,,0.0,,170.0,314.0,,,,,,,,,,,,,
20/02/2010,124,,0.0,,74.0,111.0,,,,,,,,,,,,,
21/02/2010,163,,0.0,,75.0,108.0,,,,,,,,,,,,,
22/02/2010,329,,0.0,,195.0,412.0,,,,,,,,,,,,,
23/02/2010,251,,0.0,,151.0,351.0,,,,,,,,,,,,,
24/02/2010,191,,0.0,,123.0,293.0,,,,,,,,,,,,,
25/02/2010,186,,0.0,,149.0,284.0,,,,,,,,,,,,,
26/02/2010,214,,0.0,,127.0,343.0,,,,,,,,,,,,,
27/02/2010,194,,0.0,,99.0,170.0,,,,,,,,,,,,,
28/02/2010,146,,0.0,,80.0,157.0,,,,,,,,,,,,,
01/03/2010,398,,0.0,,255.0,647.0,,,,,,,,,,,,,
02/03/2010,574,,0.0,,347.0,945.0,,,,,,,,,,,,,
03/03/2010,619,,0.0,,393.0,983.0,,,,,,,,,,,,,
04/03/2010,624,,0.0,,431.0,1009.0,,,,,,,,,,,,,
05/03/2010,629,,0.0,,407.0,995.0,,,,,,,,,,,,,
06/03/2010,687,,0.0,,356.0,820.0,,,,,,,,,,,,,
07/03/2010,571,,0.0,,322.0,648.0,,,,,,,,,,,,,
08/03/2010,921,,0.0,,591.0,1402.0,,,,,,,,,,,,,
09/03/2010,1050,,0.0,,650.0,1464.0,,,,,,,,,,,,,
10/03/2010,1218,,0.0,,759.0,1659.0,,,,,,,,,,,,,
11/03/2010,1208,,0.0,,789.0,1747.0,,,,,,,,,,,,,
12/03/2010,1053,,0.0,,671.0,1585.0,,,,,,,,,,,,,
13/03/2010,859,,0.0,,454.0,977.0,,,,,,,,,,,,,
14/03/2010,156,,0.0,,96.0,249.0,,,,,,,,,,,,,
15/03/2010,1146,,0.0,,742.0,1625.0,,,,,,,,,,,,,
16/03/2010,1836,,0.0,,1115.0,2074.0,,,,,,,,,,,,,
17/03/2010,1735,,0.0,,1129.0,2407.0,,,,,,,,,,,,,
18/03/2010,1658,,0.0,,1070.0,2178.0,,,,,,,,,,,,,
19/03/2010,1749,,0.0,,1188.0,2338.0,,,,,,,,,,,,,
20/03/2010,747,,0.0,,460.0,998.0,,,,,,,,,,,,,
21/03/2010,495,,0.0,,225.0,567.0,,,,,,,,,,,,,
22/03/2010,1032,,0.0,,684.0,1492.0,,,,,,,,,,,,,
23/03/2010,370,,0.0,,199.0,521.0,,,,,,,,,,,,,
24/03/2010,1004,,0.0,,680.0,1420.0,,,,,,,,,,,,,
25/03/2010,1535,,0.0,,955.0,2004.0,,,,,,,,,,,,,
26/03/2010,846,,0.0,,593.0,1198.0,,,,,,,,,,,,,
27/03/2010,538,,0.0,,358.0,713.0,,,,,,,,,,,,,
28/03/2010,512,,0.0,,290.0,730.0,,,,,,,,,,,,,
29/03/2010,470,,0.0,,319.0,714.0,,,,,,,,,,,,,
30/03/2010,1022,,0.0,,729.0,1422.0,,,,,,,,,,,,,
31/03/2010,1238,,6.0,,821.0,1845.0,,,,,,,,,,,,,
01/04/2010,2049,,1407.0,,1322.0,2767.0,,,,,,,,,,,,,
02/04/2010,2816,,3027.0,,1217.0,2387.0,,,,,,,,,,,,,
03/04/2010,3072,,3494.0,,1185.0,2282.0,,,,,,,,,,,,,
04/04/2010,1681,,2116.0,,744.0,1676.0,,,,,,,,,,,,,
05/04/2010,1175,,1438.0,,733.0,1594.0,,,,,,,,,,,,,
06/04/2010,2558,,2429.0,,1557.0,3105.0,,,,,,,,,,,,,
07/04/2010,1448,,1311.0,,941.0,2049.0,,,,,,,,,,,,,
08/04/2010,1617,,1461.0,,1046.0,2229.0,,,,,,,,,,,,,
09/04/2010,1305,,1171.0,,853.0,1858.0,,,,,,,,,,,,,
10/04/2010,1219,,1458.0,,724.0,1389.0,,,,,,,,,,,,,
11/04/2010,1318,,1682.0,,722.0,1437.0,,,,,,,,,,,,,
12/04/2010,2687,,2846.0,,1606.0,3223.0,,,,,,,,,,,,,
13/04/2010,3407,,3531.0,,1897.0,3656.0,,,,,,,,,,,,,
14/04/2010,3235,,3631.0,,1991.0,3563.0,,,,,,,,,,,,,
15/04/2010,2950,,3200.0,,1769.0,3479.0,,,,,,,,,,,,,
16/04/2010,723,,357.0,,562.0,1147.0,,,,,,,,,,,,,
17/04/2010,723,,518.0,,504.0,896.0,,,,,,,,,,,,,
18/04/2010,573,,139.0,,355.0,724.0,,,,,,,,,,,,,
19/04/2010,3115,,1038.0,,1727.0,3306.0,,,,,,,,,,,,,
20/04/2010,3671,,2536.0,,2219.0,4099.0,,,,,,,,,,,,,
21/04/2010,3963,,1063.0,,2429.0,4316.0,,,,,,,,,,,,,
22/04/2010,3158,,664.0,,2162.0,3877.0,,,,,,,,,,,,,
23/04/2010,3597,,381.0,,2374.0,4370.0,,,,,,,,,,,,,
24/04/2010,3490,,1168.0,,1742.0,3028.0,,,,,,,,,,,,,
25/04/2010,3092,,326.0,,1356.0,2651.0,,,,,,,,,,,,,
26/04/2010,3921,,415.0,,2339.0,4520.0,,,,,,,,,,,,,
27/04/2010,527,,10.0,,336.0,752.0,,,,,,,,,,,,,
28/04/2010,1400,,78.0,,1033.0,2149.0,,,,,,,,,,,,,
29/04/2010,3355,,200.0,,2283.0,4221.0,,,,,,,,,,,,,
30/04/2010,4143,,2125.0,,2606.0,4798.0,,,,,,,,,,,,,
01/05/2010,2433,,258.0,,1378.0,2391.0,,,,,,,,,,,,,
02/05/2010,2677,,291.0,,1423.0,2647.0,,,,,,,,,,,,,
03/05/2010,2794,,44.0,,1839.0,3480.0,,,,,,,,,,,,,
04/05/2010,3750,,128.0,,2494.0,4524.0,,,,,,,,,,,,,
05/05/2010,5333,,140.0,,3242.0,5595.0,,,,,,,,,,,,,
06/05/2010,3354,,1361.0,,2265.0,4349.0,,,,,,,,,,,,,
07/05/2010,4276,,146.0,,2783.0,4920.0,,,,,,,,,,,,,
08/05/2010,702,,0.0,,488.0,962.0,,,,,,,,,,,,,
09/05/2010,545,,0.0,,277.0,637.0,,,,,,,,,,,,,
10/05/2010,3110,,19.0,,2149.0,4012.0,,,,,,,,,,,,,
11/05/2010,4423,,3012.0,,2936.0,5182.0,,,,,,,,,,,,,
12/05/2010,4596,,141.0,,3163.0,5553.0,,,,,,,,,,,,,
13/05/2010,5069,,157.0,,3273.0,5641.0,,,,,,,,,,,,,
14/05/2010,2916,,20.0,,2114.0,3746.0,,,,,,,,,,,,,
15/05/2010,1605,,41.0,,1063.0,1909.0,,,,,,,,,,,,,
16/05/2010,4726,,534.0,,1904.0,3519.0,,,,,,,,,,,,,
17/05/2010,5936,,193.0,,3442.0,6213.0,,,,,,,,,,,,,
18/05/2010,6322,,330.0,,3776.0,6669.0,,,,,,,,,,,,,
19/05/2010,5770,,0.0,,3525.0,6289.0,,,,,,,,,,,,,
20/05/2010,5356,,0.0,,3482.0,6175.0,,,,,,,,,,,,,
21/05/2010,5748,,0.0,,3547.0,5882.0,,,,,,,,,,,,,
22/05/2010,3169,,0.0,,1859.0,3343.0,,,,,,,,,,,,,
23/05/2010,4821,,0.0,,2088.0,3880.0,,,,,,,,,,,,,
24/05/2010,4364,,0.0,,1997.0,3768.0,,,,,,,,,,,,,
25/05/2010,6430,,0.0,,3778.0,6449.0,,,,,,,,,,,,,
26/05/2010,5673,,0.0,,3570.0,6368.0,,,,,,,,,,,,,
27/05/2010,5988,,0.0,,3986.0,6860.0,,,,,,,,,,,,,
28/05/2010,6181,,0.0,,3934.0,6947.0,,,,,,,,,,,,,
29/05/2010,4599,,0.0,,2430.0,4542.0,,,,,,,,,,,,,
30/05/2010,3737,,0.0,,2003.0,4104.0,,,,,,,,,,,,,
31/05/2010,5596,,0.0,,3345.0,6474.0,,,,,,,,,,,,,
01/06/2010,2786,,0.0,,1891.0,3255.0,,,,,,,,,,,,,
02/06/2010,6791,,3799.0,,4150.0,7204.0,,,,,,,,,,,,,
03/06/2010,3676,,3841.0,,2441.0,4649.0,,,,,,,,,,,,,
04/06/2010,7083,,9258.0,,4513.0,6939.0,,,,,,,,,,,,,
05/06/2010,2884,,3168.0,,1808.0,2816.0,,,,,,,,,,,,,
06/06/2010,989,,1691.0,,766.0,1234.0,,,,,,,,,,,,,
07/06/2010,5128,,5814.0,,3362.0,5755.0,,,,,,,,,,,,,
08/06/2010,6281,,6489.0,,3933.0,6631.0,,,,,,,,,,,,,
09/06/2010,6377,,6702.0,,4068.0,7120.0,,,,,,,,,,,,,
10/06/2010,2387,,2453.0,,1591.0,2976.0,,,,,,,,,,,,,
11/06/2010,5695,,5819.0,,3945.0,6054.0,,,,,,,,,,,,,
12/06/2010,4226,,4822.0,,2823.0,4031.0,,,,,,,,,,,,,
13/06/2010,5052,,5760.0,,2799.0,4531.0,,,,,,,,,,,,,
14/06/2010,3810,,3895.0,,2730.0,3867.0,,,,,,,,,,,,,
15/06/2010,7495,,7427.0,,5077.0,7129.0,,,,,,,,,,,,,
16/06/2010,3447,,2618.0,,2363.0,4062.0,,,,,,,,,,,,,
17/06/2010,5242,,4465.0,,3472.0,5511.0,,,,,,,,,,,,,
18/06/2010,7288,,5904.0,,4909.0,6556.0,,,,,,,,,,,,,
19/06/2010,4178,,4143.0,,2308.0,3458.0,,,,,,,,,,,,,
20/06/2010,3350,,3788.0,,1719.0,3141.0,,,,,,,,,,,,,
21/06/2010,6526,,6026.0,,3892.0,6739.0,,,,,,,,,,,,,
22/06/2010,6821,,5380.0,,3876.0,6574.0,,,,,,,,,,,,,
23/06/2010,5052,,4370.0,,3353.0,6030.0,,,,,,,,,,,,,
24/06/2010,2420,,2565.0,,1231.0,2457.0,,,,,,,,,,,,,
25/06/2010,5442,,3988.0,,3705.0,5550.0,,,,,,,,,,,,,
26/06/2010,4040,,3567.0,,2857.0,3714.0,,,,,,,,,,,,,
27/06/2010,4702,,4100.0,,2709.0,3790.0,,,,,,,,,,,,,
28/06/2010,2976,,2511.0,,2040.0,3916.0,,,,,,,,,,,,,
29/06/2010,4985,,3674.0,,3463.0,5107.0,,,,,,,,,,,,,
30/06/2010,4484,,3561.0,,3002.0,5271.0,,,,,,,,,,,,,
01/07/2010,4089,,3430.0,,2402.0,3380.0,,,,,,,,,,,,,
02/07/2010,6108,,4990.0,,3780.0,5622.0,,,,,,,,,,,,,
03/07/2010,5245,,4892.0,,2996.0,4387.0,,,,,,,,,,,,,
04/07/2010,4297,,4071.0,,2622.0,3620.0,,,,,,,,,,,,,
05/07/2010,6502,,5546.0,,4472.0,6720.0,,,,,,,,,,,,,
06/07/2010,6313,,5186.0,,4083.0,6698.0,,,,,,,,,,,,,
07/07/2010,5469,,4523.0,,3269.0,6089.0,,,,,,,,,,,,,
08/07/2010,5193,,3998.0,,3131.0,6233.0,,,,,,,,,,,,,
09/07/2010,3294,,2687.0,,1983.0,3799.0,,,,,,,,,,,,,
10/07/2010,3991,,4051.0,,2276.0,3720.0,,,,,,,,,,,,,
11/07/2010,4090,,4246.0,,1855.0,3730.0,,,,,,,,,,,,,
12/07/2010,5261,,5395.0,,3300.0,6208.0,,,,,,,,,,,,,
13/07/2010,3535,,3201.0,,2330.0,4339.0,,,,,,,,,,,,,
14/07/2010,6244,,6442.0,,3939.0,6900.0,,,,,,,,,,,,,
