"numeropol","somme_couts","province"
1,0,"Nova Scotia"
1,0,"Nova Scotia"
1,243.85714286,"Nova Scotia"
5,0,"Saskatchewan"
5,0,"Saskatchewan"
5,0,"Saskatchewan"
5,0,"Saskatchewan"
5,0,"Saskatchewan"
13,0,"Yukon Territory"
13,0,"Yukon Territory"
16,0,"Alberta"
16,1156.136646,"Alberta"
16,38.47826087,"Alberta"
16,0,"Alberta"
16,0,"Alberta"
16,0,"Alberta"
22,665.27950311,"Nunavut"
22,0,"Nunavut"
22,0,"Nunavut"
22,0,"Nunavut"
22,0,"Nunavut"
22,38.47826087,"Nunavut"
22,0,"Nunavut"
28,0,"Saskatchewan"
28,0,"Saskatchewan"
28,0,"Saskatchewan"
29,5088.8695652,"British Columbia"
29,0,"British Columbia"
29,0,"British Columbia"
29,2255.6645963,"British Columbia"
29,825.40372671,"British Columbia"
29,24046.298137,"British Columbia"
29,0,"British Columbia"
29,0,"British Columbia"
49,60.50931677,"Nova Scotia"
49,120.46583851,"Nova Scotia"
49,41.540372671,"Nova Scotia"
49,0,"Nova Scotia"
53,0,"Ontario"
53,0,"Ontario"
53,0,"Ontario"
53,0,"Ontario"
53,0,"Ontario"
53,0,"Ontario"
53,0,"Ontario"
53,0,"Ontario"
53,0,"Ontario"
53,0,"Ontario"
53,0,"Ontario"
57,0,"Saskatchewan"
57,160.34782609,"Saskatchewan"
57,0,"Saskatchewan"
57,69.596273292,"Saskatchewan"
57,853.1552795,"Saskatchewan"
57,0,"Saskatchewan"
59,0,"Newfoundland and Labrador"
59,0,"Newfoundland and Labrador"
59,0,"Newfoundland and Labrador"
65,3719.0310559,"Ontario"
65,395.30434783,"Ontario"
65,611.27950311,"Ontario"
65,0,"Ontario"
65,41989.3664592,"Ontario"
65,0,"Ontario"
65,0,"Ontario"
65,0,"Ontario"
65,377.968944098,"Ontario"
65,1151.0869565,"Ontario"
67,0,"Northwest Territories"
67,0,"Northwest Territories"
67,0,"Northwest Territories"
68,0,"Manitoba"
68,0,"Manitoba"
68,0,"Manitoba"
68,0,"Manitoba"
68,0,"Manitoba"
68,0,"Manitoba"
68,0,"Manitoba"
69,0,"Nunavut"
69,0,"Nunavut"
69,0,"Nunavut"
69,0,"Nunavut"
72,0,"Nova Scotia"
72,0,"Nova Scotia"
72,0,"Nova Scotia"
72,0,"Nova Scotia"
72,0,"Nova Scotia"
72,0,"Nova Scotia"
72,0,"Nova Scotia"
72,1049.9875776,"Nova Scotia"
72,0,"Nova Scotia"
78,0,"Northwest Territories"
78,0,"Northwest Territories"
78,0,"Northwest Territories"
78,0,"Northwest Territories"
78,0,"Northwest Territories"
78,23513.503106,"Northwest Territories"
78,0,"Northwest Territories"
78,0,"Northwest Territories"
78,0,"Northwest Territories"
83,0,"Manitoba"
83,0,"Manitoba"
84,0,"Northwest Territories"
84,0,"Northwest Territories"
84,721.8136646,"Northwest Territories"
84,0,"Northwest Territories"
84,0,"Northwest Territories"
84,0,"Northwest Territories"
84,0,"Northwest Territories"
84,0,"Northwest Territories"
84,0,"Northwest Territories"
91,0,"Northwest Territories"
91,0,"Northwest Territories"
91,0,"Northwest Territories"
92,0,"New Brunswick"
92,0,"New Brunswick"
96,0,"New Brunswick"
96,0,"New Brunswick"
96,0,"New Brunswick"
96,0,"New Brunswick"
96,0,"New Brunswick"
96,0,"New Brunswick"
100,117.46583851,"Manitoba"
100,0,"Manitoba"
100,0,"Manitoba"
100,0,"Manitoba"
100,1879.5590062,"Manitoba"
102,0,"Yukon Territory"
102,483.77639752,"Yukon Territory"
102,0,"Yukon Territory"
102,0,"Yukon Territory"
112,0,"Saskatchewan"
112,0,"Saskatchewan"
112,0,"Saskatchewan"
112,0,"Saskatchewan"
112,0,"Saskatchewan"
112,0,"Saskatchewan"
113,629.54037267,"Prince Edward Island"
113,0,"Prince Edward Island"
113,0,"Prince Edward Island"
114,0,"Prince Edward Island"
114,0,"Prince Edward Island"
114,0,"Prince Edward Island"
114,0,"Prince Edward Island"
114,0,"Prince Edward Island"
114,0,"Prince Edward Island"
114,1242.826087,"Prince Edward Island"
114,40372.670807,"Prince Edward Island"
114,15.52173913,"Prince Edward Island"
115,0,"Yukon Territory"
115,0,"Yukon Territory"
115,0,"Yukon Territory"
115,0,"Yukon Territory"
115,0,"Yukon Territory"
115,0,"Yukon Territory"
115,982.16770186,"Yukon Territory"
115,0,"Yukon Territory"
115,0,"Yukon Territory"
115,0,"Yukon Territory"
115,0,"Yukon Territory"
119,0,"Saskatchewan"
119,0,"Saskatchewan"
121,0,"Manitoba"
121,0,"Manitoba"
121,0,"Manitoba"
121,107.7826087,"Manitoba"
124,0,"Manitoba"
124,538.90062112,"Manitoba"
126,847.70186335,"Alberta"
126,339.7515528,"Alberta"
126,0,"Alberta"
126,682.49068323,"Alberta"
126,0,"Alberta"
126,0,"Alberta"
126,868202.086957,"Alberta"
126,0,"Alberta"
130,0,"Manitoba"
130,0,"Manitoba"
130,0,"Manitoba"
130,0,"Manitoba"
130,408.16149068,"Manitoba"
136,0,"Saskatchewan"
146,0,"Northwest Territories"
146,0,"Northwest Territories"
146,0,"Northwest Territories"
146,0,"Northwest Territories"
146,0,"Northwest Territories"
152,0,"Ontario"
152,0,"Ontario"
152,0,"Ontario"
152,0,"Ontario"
153,0,"Quebec"
153,0,"Quebec"
153,0,"Quebec"
153,0,"Quebec"
157,0,"New Brunswick"
157,86.055900621,"New Brunswick"
157,0,"New Brunswick"
158,0,"Yukon Territory"
158,754.04347826,"Yukon Territory"
158,0,"Yukon Territory"
158,0,"Yukon Territory"
158,0,"Yukon Territory"
158,0,"Yukon Territory"
158,0,"Yukon Territory"
163,0,"Saskatchewan"
163,238.80745342,"Saskatchewan"
163,0,"Saskatchewan"
163,0,"Saskatchewan"
163,0,"Saskatchewan"
163,0,"Saskatchewan"
163,0,"Saskatchewan"
169,0,"Nunavut"
169,0,"Nunavut"
169,0,"Nunavut"
169,0,"Nunavut"
171,0,"Quebec"
171,4689.5900621,"Quebec"
171,0,"Quebec"
171,0,"Quebec"
171,621.11801242,"Quebec"
171,0,"Quebec"
171,0,"Quebec"
171,0,"Quebec"
172,0,"Saskatchewan"
172,0,"Saskatchewan"
172,0,"Saskatchewan"
172,0,"Saskatchewan"
172,12076.602484,"Saskatchewan"
172,0,"Saskatchewan"
173,0,"Nunavut"
183,0,"New Brunswick"
183,31941.391304,"New Brunswick"
183,0,"New Brunswick"
183,0,"New Brunswick"
183,0,"New Brunswick"
183,206.47826087,"New Brunswick"
192,0,"Yukon Territory"
192,0,"Yukon Territory"
192,0,"Yukon Territory"
192,0,"Yukon Territory"
192,0,"Yukon Territory"
192,0,"Yukon Territory"
192,0,"Yukon Territory"
197,0,"Prince Edward Island"
197,226.86335404,"Prince Edward Island"
197,85402.857142,"Prince Edward Island"
197,1000.8136646,"Prince Edward Island"
197,172.0621118,"Prince Edward Island"
204,0,"Alberta"
204,730.67080745,"Alberta"
204,0,"Alberta"
204,0,"Alberta"
204,37684.875776,"Alberta"
204,0,"Alberta"
204,0,"Alberta"
204,476.31055901,"Alberta"
206,0,"Newfoundland and Labrador"
206,0,"Newfoundland and Labrador"
206,0,"Newfoundland and Labrador"
206,0,"Newfoundland and Labrador"
206,0,"Newfoundland and Labrador"
206,0,"Newfoundland and Labrador"
206,0,"Newfoundland and Labrador"
206,83228.875776,"Newfoundland and Labrador"
206,0,"Newfoundland and Labrador"
206,0,"Newfoundland and Labrador"
209,0,"Northwest Territories"
209,0,"Northwest Territories"
209,0,"Northwest Territories"
209,0,"Northwest Territories"
209,0,"Northwest Territories"
209,150.8136646,"Northwest Territories"
209,0,"Northwest Territories"
209,0,"Northwest Territories"
209,0,"Northwest Territories"
209,0,"Northwest Territories"
211,189.0931677,"New Brunswick"
211,0,"New Brunswick"
211,0,"New Brunswick"
211,0,"New Brunswick"
231,0,"New Brunswick"
231,0,"New Brunswick"
231,0,"New Brunswick"
234,0,"Quebec"
235,0,"Saskatchewan"
235,0,"Saskatchewan"
235,0,"Saskatchewan"
235,0,"Saskatchewan"
235,7902.6335404,"Saskatchewan"
236,0,"Northwest Territories"
236,0,"Northwest Territories"
236,0,"Northwest Territories"
236,0,"Northwest Territories"
236,0,"Northwest Territories"
236,0,"Northwest Territories"
236,0,"Northwest Territories"
236,0,"Northwest Territories"
237,0,"New Brunswick"
246,0,"Nunavut"
246,0,"Nunavut"
246,0,"Nunavut"
246,0,"Nunavut"
246,0,"Nunavut"
246,945.7826087,"Nunavut"
257,0,"Alberta"
257,0,"Alberta"
257,0,"Alberta"
257,470.05590062,"Alberta"
257,0,"Alberta"
258,0,"Ontario"
258,0,"Ontario"
261,0,"Northwest Territories"
261,0,"Northwest Territories"
261,0,"Northwest Territories"
261,0,"Northwest Territories"
261,0,"Northwest Territories"
267,0,"New Brunswick"
267,0,"New Brunswick"
267,0,"New Brunswick"
267,0,"New Brunswick"
267,620.14906832,"New Brunswick"
267,0,"New Brunswick"
267,0,"New Brunswick"
268,0,"British Columbia"
269,0,"Manitoba"
269,323.40372671,"Manitoba"
270,0,"Ontario"
270,0,"Ontario"
270,0,"Ontario"
270,658.07453416,"Ontario"
270,0,"Ontario"
270,0,"Ontario"
271,0,"Manitoba"
271,0,"Manitoba"
271,0,"Manitoba"
271,0,"Manitoba"
271,0,"Manitoba"
271,0,"Manitoba"
271,0,"Manitoba"
271,0,"Manitoba"
279,0,"Quebec"
279,0,"Quebec"
279,0,"Quebec"
279,0,"Quebec"
279,0,"Quebec"
279,0,"Quebec"
279,51727.037267,"Quebec"
279,1000.8136646,"Quebec"
279,0,"Quebec"
282,0,"British Columbia"
289,0,"New Brunswick"
289,0,"New Brunswick"
289,0,"New Brunswick"
289,0,"New Brunswick"
289,0,"New Brunswick"
289,0,"New Brunswick"
289,0,"New Brunswick"
290,0,"Newfoundland and Labrador"
290,1434.53416151,"Newfoundland and Labrador"
290,1380.378881942,"Newfoundland and Labrador"
300,1333.4658385,"Newfoundland and Labrador"
300,0,"Newfoundland and Labrador"
300,0,"Newfoundland and Labrador"
300,0,"Newfoundland and Labrador"
300,780.38509317,"Newfoundland and Labrador"
300,812.925465836,"Newfoundland and Labrador"
300,0,"Newfoundland and Labrador"
300,0,"Newfoundland and Labrador"
300,40372.670807,"Newfoundland and Labrador"
300,15013.614907,"Newfoundland and Labrador"
300,0,"Newfoundland and Labrador"
300,0,"Newfoundland and Labrador"
300,0,"Newfoundland and Labrador"
303,0,"Quebec"
303,0,"Quebec"
309,0,"Alberta"
309,0,"Alberta"
309,0,"Alberta"
309,0,"Alberta"
309,0,"Alberta"
309,0,"Alberta"
310,62623.59006193,"Nova Scotia"
310,33.180124224,"Nova Scotia"
310,0,"Nova Scotia"
310,90.826086957,"Nova Scotia"
317,0,"Ontario"
317,0,"Ontario"
317,0,"Ontario"
317,0,"Ontario"
317,0,"Ontario"
321,0,"Ontario"
321,0,"Ontario"
321,0,"Ontario"
321,0,"Ontario"
321,0,"Ontario"
338,0,"Saskatchewan"
338,1892.56521739,"Saskatchewan"
338,0,"Saskatchewan"
341,47.391304348,"Nova Scotia"
341,0,"Nova Scotia"
341,0,"Nova Scotia"
341,0,"Nova Scotia"
341,0,"Nova Scotia"
341,0,"Nova Scotia"
341,0,"Nova Scotia"
341,0,"Nova Scotia"
341,0,"Nova Scotia"
347,0,"Nunavut"
347,558.91304348,"Nunavut"
347,0,"Nunavut"
347,0,"Nunavut"
348,0,"New Brunswick"
348,224.70807453,"New Brunswick"
348,0,"New Brunswick"
348,36.335403727,"New Brunswick"
348,440.26708075,"New Brunswick"
348,0,"New Brunswick"
348,0,"New Brunswick"
348,2190.2049689,"New Brunswick"
350,2387.40372672,"Northwest Territories"
350,0,"Northwest Territories"
350,631.27950311,"Northwest Territories"
352,48.161490683,"Yukon Territory"
352,0,"Yukon Territory"
352,0,"Yukon Territory"
352,0,"Yukon Territory"
352,0,"Yukon Territory"
353,0,"Prince Edward Island"
353,0,"Prince Edward Island"
353,0,"Prince Edward Island"
353,0,"Prince Edward Island"
353,0,"Prince Edward Island"
354,0,"Northwest Territories"
354,0,"Northwest Territories"
354,0,"Northwest Territories"
354,0,"Northwest Territories"
354,0,"Northwest Territories"
354,0,"Northwest Territories"
355,346.43478261,"New Brunswick"
355,0,"New Brunswick"
355,0,"New Brunswick"
355,0,"New Brunswick"
355,0,"New Brunswick"
355,232425.6646,"New Brunswick"
358,597.53416149,"Northwest Territories"
358,0,"Northwest Territories"
358,0,"Northwest Territories"
358,202.57763975,"Northwest Territories"
358,0,"Northwest Territories"
361,0,"New Brunswick"
368,0,"New Brunswick"
368,0,"New Brunswick"
368,0,"New Brunswick"
368,0,"New Brunswick"
368,0,"New Brunswick"
368,0,"New Brunswick"
368,1590.6521739,"New Brunswick"
368,0,"New Brunswick"
368,0,"New Brunswick"
368,0,"New Brunswick"
368,0,"New Brunswick"
369,0,"Manitoba"
369,0,"Manitoba"
369,580.85714286,"Manitoba"
369,0,"Manitoba"
379,0,"Quebec"
379,0,"Quebec"
379,0,"Quebec"
379,0,"Quebec"
379,0,"Quebec"
379,0,"Quebec"
385,0,"British Columbia"
385,0,"British Columbia"
385,0,"British Columbia"
385,0,"British Columbia"
385,0,"British Columbia"
385,0,"British Columbia"
385,0,"British Columbia"
385,0,"British Columbia"
390,0,"Saskatchewan"
390,0,"Saskatchewan"
390,0,"Saskatchewan"
390,36.335403727,"Saskatchewan"
390,9835.763975197,"Saskatchewan"
399,0,"Northwest Territories"
399,0,"Northwest Territories"
399,892.08074534,"Northwest Territories"
399,0,"Northwest Territories"
399,0,"Northwest Territories"
399,0,"Northwest Territories"
399,2835.16770191,"Northwest Territories"
399,703.98757764,"Northwest Territories"
399,16308.9689442,"Northwest Territories"
401,0,"Nova Scotia"
401,0,"Nova Scotia"
402,0,"Quebec"
402,0,"Quebec"
402,0,"Quebec"
402,0,"Quebec"
402,0,"Quebec"
402,0,"Quebec"
402,0,"Quebec"
403,0,"Saskatchewan"
403,0,"Saskatchewan"
403,0,"Saskatchewan"
403,0,"Saskatchewan"
403,0,"Saskatchewan"
403,0,"Saskatchewan"
403,132.04347826,"Saskatchewan"
403,0,"Saskatchewan"
408,0,"Ontario"
409,908.13664596,"Prince Edward Island"
409,0,"Prince Edward Island"
409,0,"Prince Edward Island"
409,0,"Prince Edward Island"
409,0,"Prince Edward Island"
409,0,"Prince Edward Island"
409,0,"Prince Edward Island"
421,0,"Northwest Territories"
421,0,"Northwest Territories"
421,15648.086957,"Northwest Territories"
421,0,"Northwest Territories"
421,0,"Northwest Territories"
433,0,"Quebec"
440,0,"Saskatchewan"
440,0,"Saskatchewan"
440,0,"Saskatchewan"
440,0,"Saskatchewan"
440,0,"Saskatchewan"
440,0,"Saskatchewan"
446,0,"Prince Edward Island"
446,0,"Prince Edward Island"
446,0,"Prince Edward Island"
446,0,"Prince Edward Island"
452,0,"Yukon Territory"
452,0,"Yukon Territory"
452,0,"Yukon Territory"
452,0,"Yukon Territory"
452,0,"Yukon Territory"
452,0,"Yukon Territory"
452,0,"Yukon Territory"
452,0,"Yukon Territory"
452,0,"Yukon Territory"
457,0,"Northwest Territories"
457,0,"Northwest Territories"
457,0,"Northwest Territories"
466,0,"Manitoba"
466,0,"Manitoba"
466,0,"Manitoba"
466,0,"Manitoba"
466,0,"Manitoba"
467,0,"Saskatchewan"
468,414,"Saskatchewan"
468,0,"Saskatchewan"
468,0,"Saskatchewan"
468,3441.0745342,"Saskatchewan"
468,0,"Saskatchewan"
474,0,"Manitoba"
475,0,"Northwest Territories"
475,0,"Northwest Territories"
475,0,"Northwest Territories"
475,0,"Northwest Territories"
475,0,"Northwest Territories"
475,0,"Northwest Territories"
485,0,"Manitoba"
485,1287.5652174,"Manitoba"
485,0,"Manitoba"
486,0,"Alberta"
486,0,"Alberta"
486,0,"Alberta"
486,0,"Alberta"
486,607.41614907,"Alberta"
486,0,"Alberta"
486,0,"Alberta"
486,0,"Alberta"
487,0,"Prince Edward Island"
487,0,"Prince Edward Island"
487,0,"Prince Edward Island"
487,0,"Prince Edward Island"
488,0,"Manitoba"
488,0,"Manitoba"
488,752.33540373,"Manitoba"
488,0,"Manitoba"
488,0,"Manitoba"
489,0,"Prince Edward Island"
489,0,"Prince Edward Island"
489,0,"Prince Edward Island"
489,0,"Prince Edward Island"
489,0,"Prince Edward Island"
489,0,"Prince Edward Island"
489,0,"Prince Edward Island"
495,0,"Yukon Territory"
495,0,"Yukon Territory"
495,0,"Yukon Territory"
495,0,"Yukon Territory"
495,0,"Yukon Territory"
495,0,"Yukon Territory"
495,0,"Yukon Territory"
495,0,"Yukon Territory"
497,0,"Nova Scotia"
497,0,"Nova Scotia"
497,0,"Nova Scotia"
497,0,"Nova Scotia"
501,0,"Quebec"
504,181.521739135,"Yukon Territory"
504,0,"Yukon Territory"
504,0,"Yukon Territory"
508,0,"Quebec"
509,0,"New Brunswick"
509,0,"New Brunswick"
509,0,"New Brunswick"
512,9407.621118,"Yukon Territory"
515,0,"Newfoundland and Labrador"
515,0,"Newfoundland and Labrador"
515,0,"Newfoundland and Labrador"
515,0,"Newfoundland and Labrador"
515,0,"Newfoundland and Labrador"
515,0,"Newfoundland and Labrador"
515,0,"Newfoundland and Labrador"
534,0,"Manitoba"
534,0,"Manitoba"
534,0,"Manitoba"
537,0,"Saskatchewan"
537,0,"Saskatchewan"
537,1281.2236025,"Saskatchewan"
537,46.192546584,"Saskatchewan"
537,0,"Saskatchewan"
537,0,"Saskatchewan"
537,0,"Saskatchewan"
537,0,"Saskatchewan"
537,0,"Saskatchewan"
537,0,"Saskatchewan"
537,0,"Saskatchewan"
537,0,"Saskatchewan"
540,0,"Yukon Territory"
540,0,"Yukon Territory"
540,0,"Yukon Territory"
540,0,"Yukon Territory"
540,0,"Yukon Territory"
540,0,"Yukon Territory"
540,760.61490683,"Yukon Territory"
540,0,"Yukon Territory"
540,0,"Yukon Territory"
552,0,"Prince Edward Island"
552,0,"Prince Edward Island"
552,0,"Prince Edward Island"
552,0,"Prince Edward Island"
552,0,"Prince Edward Island"
552,0,"Prince Edward Island"
552,0,"Prince Edward Island"
552,0,"Prince Edward Island"
552,0,"Prince Edward Island"
558,0,"Northwest Territories"
558,0,"Northwest Territories"
558,0,"Northwest Territories"
558,0,"Northwest Territories"
562,0,"Saskatchewan"
563,0,"Nova Scotia"
564,0,"Alberta"
564,769.85714286,"Alberta"
564,976.70186335,"Alberta"
564,0,"Alberta"
564,0,"Alberta"
564,0,"Alberta"
564,0,"Alberta"
568,2436.3664596,"New Brunswick"
568,769.85714286,"New Brunswick"
568,0,"New Brunswick"
576,0,"Prince Edward Island"
576,0,"Prince Edward Island"
576,0,"Prince Edward Island"
576,153.9689441,"Prince Edward Island"
582,30271.27329196,"Alberta"
582,0,"Alberta"
582,0,"Alberta"
582,0,"Alberta"
582,0,"Alberta"
582,0,"Alberta"
587,0,"Alberta"
587,0,"Alberta"
588,0,"Newfoundland and Labrador"
588,0,"Newfoundland and Labrador"
588,742.55900621,"Newfoundland and Labrador"
588,0,"Newfoundland and Labrador"
594,0,"Ontario"
594,0,"Ontario"
606,0,"Ontario"
606,0,"Ontario"
606,0,"Ontario"
606,0,"Ontario"
606,0,"Ontario"
606,0,"Ontario"
606,1621.7515528,"Ontario"
606,0,"Ontario"
624,3418.9565218,"Quebec"
624,0,"Quebec"
624,0,"Quebec"
624,1073.3167702,"Quebec"
624,1311.552795031,"Quebec"
625,0,"Prince Edward Island"
625,0,"Prince Edward Island"
625,0,"Prince Edward Island"
625,0,"Prince Edward Island"
625,0,"Prince Edward Island"
630,1654.00621114,"British Columbia"
630,0,"British Columbia"
630,0,"British Columbia"
630,1033.1180124,"British Columbia"
630,0,"British Columbia"
630,0,"British Columbia"
630,0,"British Columbia"
630,869.64596273,"British Columbia"
646,0,"British Columbia"
646,0,"British Columbia"
646,0,"British Columbia"
646,440.52173913,"British Columbia"
646,0,"British Columbia"
646,217.46583851,"British Columbia"
646,52375.645963,"British Columbia"
649,0,"Yukon Territory"
649,0,"Yukon Territory"
649,0,"Yukon Territory"
649,0,"Yukon Territory"
658,669,"Nunavut"
664,0,"Saskatchewan"
664,0,"Saskatchewan"
664,364.69565217,"Saskatchewan"
664,478.57142857,"Saskatchewan"
664,0,"Saskatchewan"
664,0,"Saskatchewan"
664,0,"Saskatchewan"
666,0,"Saskatchewan"
666,0,"Saskatchewan"
666,0,"Saskatchewan"
666,0,"Saskatchewan"
666,268.31055901,"Saskatchewan"
666,0,"Saskatchewan"
666,0,"Saskatchewan"
666,0,"Saskatchewan"
680,0,"Alberta"
680,0,"Alberta"
680,346.0931677,"Alberta"
680,0,"Alberta"
680,0,"Alberta"
682,0,"Ontario"
682,0,"Ontario"
682,808.08695652,"Ontario"
682,6052.16770192,"Ontario"
