numeropol,debut_pol,fin_pol,cout1,cout2,cout3,cout4,cout5,cout6,cout7,nbsin
1,1999-11-10,2000-10-16,,,,,,,,0
1,2000-10-17,2000-11-09,,,,,,,,0
1,2000-11-10,2001-11-09,243.85714286,,,,,,,1
5,1996-01-03,1996-03-27,,,,,,,,0
5,1996-03-28,1997-01-02,,,,,,,,0
5,1997-01-03,1998-01-02,,,,,,,,0
5,1998-01-03,1998-04-15,,,,,,,,0
5,1998-04-16,1999-01-02,,,,,,,,0
13,1995-04-20,1996-04-19,,,,,,,,0
13,1996-04-20,1997-01-28,,,,,,,,0
16,1997-10-18,1998-10-17,,,,,,,,0
16,1998-10-18,1999-10-17,1156.1366460000002,,,,,,,1
16,1999-10-18,2000-10-17,38.47826087,,,,,,,1
16,2000-11-10,2001-10-17,,,,,,,,0
16,2001-10-18,2002-10-17,,,,,,,,0
16,2002-10-18,2003-10-17,,,,,,,,0
22,1995-02-20,1996-02-19,665.27950311,,,,,,,1
22,1997-02-20,1998-02-19,,,,,,,,0
22,1998-02-20,1998-05-07,,,,,,,,0
22,1998-05-08,1999-02-19,,,,,,,,0
22,1999-02-20,2000-02-19,,,,,,,,0
22,2002-02-20,2003-02-19,38.47826087,,,,,,,1
22,2003-02-20,2004-02-19,,,,,,,,0
28,1996-02-01,1997-01-31,,,,,,,,0
28,1997-02-01,1998-01-31,,,,,,,,0
28,1998-02-01,1998-05-17,,,,,,,,0
29,1996-02-16,1997-02-15,5088.8695652,,,,,,,1
29,1997-02-16,1998-02-15,,,,,,,,0
29,1998-02-16,1999-02-15,,,,,,,,0
29,1999-06-01,2000-02-15,2255.6645963000005,,,,,,,1
29,2000-02-16,2001-02-15,602.37888199,223.02484472,,,,,,2
29,2001-02-16,2002-02-15,24046.298137,,,,,,,1
29,2002-02-16,2002-05-23,,,,,,,,0
29,2003-02-16,2004-02-15,,,,,,,,0
49,1995-10-17,1996-10-16,60.50931677,,,,,,,1
49,1997-10-17,1998-10-16,120.46583851,,,,,,,1
49,2000-10-17,2001-10-16,41.540372671,,,,,,,1
49,2002-10-17,2003-10-16,,,,,,,,0
53,1995-08-20,1996-08-19,,,,,,,,0
53,1996-08-20,1997-08-19,,,,,,,,0
53,1997-08-20,1997-08-31,,,,,,,,0
53,1997-09-01,1998-08-19,,,,,,,,0
53,1998-08-20,1998-08-31,,,,,,,,0
53,1998-09-01,1999-05-02,,,,,,,,0
53,1999-05-03,1999-08-19,,,,,,,,0
53,1999-08-20,2000-08-19,,,,,,,,0
53,2000-08-20,2001-08-19,,,,,,,,0
53,2001-08-20,2002-04-10,,,,,,,,0
53,2002-04-11,2002-08-19,,,,,,,,0
57,1995-02-28,1996-02-27,,,,,,,,0
57,1998-02-28,1999-02-27,160.34782609,,,,,,,1
57,1999-02-28,1999-06-30,,,,,,,,0
57,1999-07-01,2000-02-28,69.59627329199999,,,,,,,1
57,2000-02-29,2000-10-08,853.1552795,,,,,,,1
57,2000-10-09,2000-11-09,,,,,,,,0
59,1995-06-30,1996-06-10,,,,,,,,0
59,1996-06-11,1996-06-29,,,,,,,,0
59,1996-06-30,1996-07-07,,,,,,,,0
65,1995-02-07,1996-02-06,3719.0310559,,,,,,,1
65,1996-02-07,1997-02-06,395.30434783,,,,,,,1
65,1997-02-07,1998-02-06,611.27950311,,,,,,,1
65,1998-02-07,1999-02-06,,,,,,,,0
65,1999-02-07,2000-02-06,1616.6956522,40372.670807,,,,,,2
65,2000-02-07,2000-07-10,,,,,,,,0
65,2000-12-15,2001-02-06,,,,,,,,0
65,2002-02-07,2002-06-06,,,,,,,,0
65,2002-06-07,2003-02-06,302.07453416,75.894409938,,,,,,2
65,2003-02-07,2004-02-06,1151.0869565,,,,,,,1
67,2001-01-01,2001-10-15,,,,,,,,0
67,2001-10-16,2001-12-31,,,,,,,,0
67,2003-01-01,2003-12-31,,,,,,,,0
68,1995-02-01,1996-01-31,,,,,,,,0
68,1996-02-01,1997-01-31,,,,,,,,0
68,1997-02-01,1998-01-31,,,,,,,,0
68,1998-02-01,1999-01-31,,,,,,,,0
68,1999-02-01,2000-01-31,,,,,,,,0
68,2001-02-01,2002-01-31,,,,,,,,0
68,2002-02-01,2003-01-31,,,,,,,,0
69,1996-03-20,1997-03-19,,,,,,,,0
69,1998-03-20,1999-03-19,,,,,,,,0
69,1999-03-20,2000-03-19,,,,,,,,0
69,2001-03-20,2002-03-19,,,,,,,,0
72,1995-06-24,1996-06-23,,,,,,,,0
72,1996-06-24,1997-02-02,,,,,,,,0
72,1997-02-03,1997-06-23,,,,,,,,0
72,1997-06-24,1998-06-23,,,,,,,,0
72,1998-06-24,1999-06-23,,,,,,,,0
72,1999-06-24,2000-06-23,,,,,,,,0
72,2000-06-24,2001-06-23,,,,,,,,0
72,2001-06-24,2002-06-23,1049.9875776000001,,,,,,,1
72,2002-06-24,2003-06-23,,,,,,,,0
78,1996-01-22,1997-01-21,,,,,,,,0
78,1997-01-22,1997-03-24,,,,,,,,0
78,1997-03-25,1998-01-21,,,,,,,,0
78,1999-01-22,2000-01-21,,,,,,,,0
78,2000-01-22,2001-01-21,,,,,,,,0
78,2001-01-22,2002-01-21,23513.503106,,,,,,,1
78,2002-01-22,2002-01-31,,,,,,,,0
78,2002-02-01,2003-01-21,,,,,,,,0
78,2003-01-22,2004-01-21,,,,,,,,0
83,1995-02-04,1996-02-03,,,,,,,,0
83,1996-02-04,1997-02-03,,,,,,,,0
84,1995-05-25,1996-05-24,,,,,,,,0
84,1996-05-25,1996-07-03,,,,,,,,0
84,1996-08-14,1997-05-24,721.8136646,,,,,,,1
84,1997-05-25,1998-05-24,,,,,,,,0
84,1998-05-25,1999-05-24,,,,,,,,0
84,1999-05-25,2000-05-24,,,,,,,,0
84,2000-05-25,2001-05-24,,,,,,,,0
84,2001-05-25,2002-05-24,,,,,,,,0
84,2002-05-25,2003-05-24,,,,,,,,0
91,1997-04-06,1997-12-02,,,,,,,,0
91,1997-12-03,1997-12-04,,,,,,,,0
91,1997-12-05,1998-04-05,,,,,,,,0
92,1996-02-11,1997-02-10,,,,,,,,0
92,1997-02-11,1997-10-27,,,,,,,,0
96,1996-04-27,1997-04-26,,,,,,,,0
96,1997-04-27,1998-04-26,,,,,,,,0
96,1998-04-27,1999-04-26,,,,,,,,0
96,1999-04-27,2000-04-26,,,,,,,,0
96,2000-04-27,2001-04-26,,,,,,,,0
96,2001-04-27,2002-04-26,,,,,,,,0
100,1995-01-30,1996-01-29,117.46583851,,,,,,,1
100,1999-01-30,2000-01-29,,,,,,,,0
100,2000-01-30,2000-03-12,,,,,,,,0
100,2000-03-13,2001-01-29,,,,,,,,0
100,2003-01-30,2004-01-29,1879.5590061999999,,,,,,,1
102,1995-11-24,1995-12-07,,,,,,,,0
102,1995-12-08,1996-05-20,483.77639752,,,,,,,1
102,1997-05-21,1998-02-03,,,,,,,,0
102,1998-02-04,1998-05-20,,,,,,,,0
112,1995-04-03,1995-08-27,,,,,,,,0
112,1998-04-03,1999-04-02,,,,,,,,0
112,1999-04-03,2000-04-02,,,,,,,,0
112,2000-04-03,2001-04-02,,,,,,,,0
112,2002-04-03,2003-04-02,,,,,,,,0
112,2003-04-03,2004-04-02,,,,,,,,0
113,1996-08-11,1997-04-01,629.54037267,,,,,,,1
113,1998-08-11,1998-08-15,,,,,,,,0
113,1998-08-16,1999-08-10,,,,,,,,0
114,1995-10-22,1996-10-21,,,,,,,,0
114,1996-10-22,1997-10-21,,,,,,,,0
114,1997-10-22,1997-11-06,,,,,,,,0
114,1997-11-07,1997-12-02,,,,,,,,0
114,1997-12-03,1998-10-21,,,,,,,,0
114,1998-10-22,1999-10-21,,,,,,,,0
114,1999-10-22,2000-10-21,1242.826087,,,,,,,1
114,2000-10-22,2001-10-21,40372.670807,,,,,,,1
114,2003-01-15,2003-10-21,15.52173913,,,,,,,1
115,1995-05-18,1995-11-27,,,,,,,,0
115,1996-04-12,1996-05-17,,,,,,,,0
115,1997-04-10,1997-05-17,,,,,,,,0
115,1997-05-18,1998-05-17,,,,,,,,0
115,1998-05-18,1999-04-07,,,,,,,,0
115,1999-04-08,1999-05-17,,,,,,,,0
115,1999-09-30,1999-12-13,982.16770186,,,,,,,1
115,2000-04-21,2000-05-17,,,,,,,,0
115,2000-05-18,2001-05-17,,,,,,,,0
115,2001-05-18,2001-07-11,,,,,,,,0
115,2002-05-18,2003-05-17,,,,,,,,0
119,1995-05-29,1996-02-06,,,,,,,,0
119,1996-02-07,1996-02-29,,,,,,,,0
121,1995-05-01,1995-12-25,,,,,,,,0
121,1995-12-26,1996-04-30,,,,,,,,0
121,1996-05-01,1996-11-05,,,,,,,,0
121,1997-05-01,1997-07-15,107.78260870000001,,,,,,,1
124,1995-02-11,1995-07-17,,,,,,,,0
124,1995-07-18,1995-11-07,538.90062112,,,,,,,1
126,1996-04-29,1997-04-28,847.70186335,,,,,,,1
126,1997-04-29,1998-04-28,339.7515528,,,,,,,1
126,1998-04-29,1999-04-28,,,,,,,,0
126,1999-04-29,2000-03-23,682.49068323,,,,,,,1
126,2000-03-24,2000-04-28,,,,,,,,0
126,2000-04-29,2001-04-28,,,,,,,,0
126,2001-04-29,2002-04-28,40372.670807,827829.41615,,,,,,2
126,2002-04-29,2003-04-28,,,,,,,,0
130,1997-08-01,1998-07-31,,,,,,,,0
130,1999-08-01,2000-07-31,,,,,,,,0
130,2000-08-01,2001-07-31,,,,,,,,0
130,2001-08-01,2002-07-31,,,,,,,,0
130,2002-08-01,2003-07-31,408.16149068,,,,,,,1
136,1995-07-18,1995-11-07,,,,,,,,0
146,1997-02-19,1998-02-18,,,,,,,,0
146,1998-02-19,1999-02-18,,,,,,,,0
146,1999-02-19,1999-05-09,,,,,,,,0
146,2002-02-19,2003-02-18,,,,,,,,0
146,2003-02-19,2004-02-18,,,,,,,,0
152,1997-02-14,1997-05-04,,,,,,,,0
152,1998-02-14,1999-02-13,,,,,,,,0
152,1999-02-14,2000-02-13,,,,,,,,0
152,2000-07-12,2001-02-13,,,,,,,,0
153,1995-02-06,1996-02-05,,,,,,,,0
153,1996-02-06,1996-10-22,,,,,,,,0
153,1996-10-23,1997-02-05,,,,,,,,0
153,1999-02-06,1999-05-04,,,,,,,,0
157,1995-11-08,1996-11-07,,,,,,,,0
157,1996-11-08,1997-07-30,86.055900621,,,,,,,1
157,1997-07-31,1997-11-07,,,,,,,,0
158,1996-02-26,1997-02-25,,,,,,,,0
158,1997-02-26,1998-02-25,263.9378882,490.10559006,,,,,,2
158,1998-02-26,1998-10-06,,,,,,,,0
158,1998-10-07,1999-02-25,,,,,,,,0
158,1999-02-26,2000-02-25,,,,,,,,0
158,2001-02-26,2002-02-25,,,,,,,,0
158,2003-02-26,2004-02-25,,,,,,,,0
163,1995-02-13,1995-05-09,,,,,,,,0
163,1996-02-13,1997-02-12,238.80745342,,,,,,,1
163,1999-02-13,2000-02-12,,,,,,,,0
163,2000-02-13,2001-02-12,,,,,,,,0
163,2001-02-13,2002-02-12,,,,,,,,0
163,2002-02-13,2003-02-12,,,,,,,,0
163,2003-02-13,2004-02-12,,,,,,,,0
169,1995-06-20,1995-11-20,,,,,,,,0
169,1995-11-21,1996-06-19,,,,,,,,0
169,1996-06-20,1997-03-12,,,,,,,,0
169,1997-03-13,1997-06-19,,,,,,,,0
171,1995-02-17,1995-06-11,,,,,,,,0
171,1995-06-12,1995-10-10,4689.590062100001,,,,,,,1
171,1995-10-11,1996-02-16,,,,,,,,0
171,1996-02-17,1996-05-21,,,,,,,,0
171,1996-05-22,1996-10-06,621.11801242,,,,,,,1
171,1996-10-07,1997-02-16,,,,,,,,0
171,1997-07-09,1997-08-21,,,,,,,,0
171,1997-08-22,1998-02-16,,,,,,,,0
172,1995-10-01,1996-08-06,,,,,,,,0
172,1996-10-01,1997-09-30,,,,,,,,0
172,1997-10-01,1998-09-30,,,,,,,,0
172,1999-10-01,2000-09-30,,,,,,,,0
172,2000-10-01,2001-09-30,12076.602484000001,,,,,,,1
172,2001-10-01,2002-04-07,,,,,,,,0
173,1995-02-03,1996-02-02,,,,,,,,0
183,1997-05-12,1998-05-11,,,,,,,,0
183,1998-05-12,1998-11-08,31941.391304,,,,,,,1
183,1998-11-09,1999-05-11,,,,,,,,0
