"No","year","month","day","hour","pm2.5","DEWP","TEMP","PRES","cbwd","Iws","Is","Ir","datetime"
1,2010,1,1,0,NA,-21,-11,1021,"NW",1.79,0,0,2010-01-01 00:00:00
2,2010,1,1,1,NA,-21,-12,1020,"NW",4.92,0,0,2010-01-01 01:00:00
3,2010,1,1,2,NA,-21,-11,1019,"NW",6.71,0,0,2010-01-01 02:00:00
4,2010,1,1,3,NA,-21,-14,1019,"NW",9.84,0,0,2010-01-01 03:00:00
5,2010,1,1,4,NA,-20,-12,1018,"NW",12.97,0,0,2010-01-01 04:00:00
6,2010,1,1,5,NA,-19,-10,1017,"NW",16.1,0,0,2010-01-01 05:00:00
7,2010,1,1,6,NA,-19,-9,1017,"NW",19.23,0,0,2010-01-01 06:00:00
8,2010,1,1,7,NA,-19,-9,1017,"NW",21.02,0,0,2010-01-01 07:00:00
9,2010,1,1,8,NA,-19,-9,1017,"NW",24.15,0,0,2010-01-01 08:00:00
10,2010,1,1,9,NA,-20,-8,1017,"NW",27.28,0,0,2010-01-01 09:00:00
11,2010,1,1,10,NA,-19,-7,1017,"NW",31.3,0,0,2010-01-01 10:00:00
12,2010,1,1,11,NA,-18,-5,1017,"NW",34.43,0,0,2010-01-01 11:00:00
13,2010,1,1,12,NA,-19,-5,1015,"NW",37.56,0,0,2010-01-01 12:00:00
14,2010,1,1,13,NA,-18,-3,1015,"NW",40.69,0,0,2010-01-01 13:00:00
15,2010,1,1,14,NA,-18,-2,1014,"NW",43.82,0,0,2010-01-01 14:00:00
16,2010,1,1,15,NA,-18,-1,1014,"cv",0.89,0,0,2010-01-01 15:00:00
17,2010,1,1,16,NA,-19,-2,1015,"NW",1.79,0,0,2010-01-01 16:00:00
18,2010,1,1,17,NA,-18,-3,1015,"NW",2.68,0,0,2010-01-01 17:00:00
19,2010,1,1,18,NA,-18,-5,1016,"NE",1.79,0,0,2010-01-01 18:00:00
20,2010,1,1,19,NA,-17,-4,1017,"NW",1.79,0,0,2010-01-01 19:00:00
21,2010,1,1,20,NA,-17,-5,1017,"cv",0.89,0,0,2010-01-01 20:00:00
22,2010,1,1,21,NA,-17,-5,1018,"NW",1.79,0,0,2010-01-01 21:00:00
23,2010,1,1,22,NA,-17,-5,1018,"NW",2.68,0,0,2010-01-01 22:00:00
24,2010,1,1,23,NA,-17,-5,1020,"cv",0.89,0,0,2010-01-01 23:00:00
25,2010,1,2,0,129,-16,-4,1020,"SE",1.79,0,0,2010-01-02 00:00:00
26,2010,1,2,1,148,-15,-4,1020,"SE",2.68,0,0,2010-01-02 01:00:00
27,2010,1,2,2,159,-11,-5,1021,"SE",3.57,0,0,2010-01-02 02:00:00
28,2010,1,2,3,181,-7,-5,1022,"SE",5.36,1,0,2010-01-02 03:00:00
29,2010,1,2,4,138,-7,-5,1022,"SE",6.25,2,0,2010-01-02 04:00:00
30,2010,1,2,5,109,-7,-6,1022,"SE",7.14,3,0,2010-01-02 05:00:00
31,2010,1,2,6,105,-7,-6,1023,"SE",8.93,4,0,2010-01-02 06:00:00
32,2010,1,2,7,124,-7,-5,1024,"SE",10.72,0,0,2010-01-02 07:00:00
33,2010,1,2,8,120,-8,-6,1024,"SE",12.51,0,0,2010-01-02 08:00:00
34,2010,1,2,9,132,-7,-5,1025,"SE",14.3,0,0,2010-01-02 09:00:00
