"","Age","Lx"
"1",0,100000
"2",1,99616
"3",2,99583
"4",3,99562
"5",4,99545
"6",5,99531
"7",6,99519
"8",7,99508
"9",8,99498
"10",9,99488
"11",10,99478
"12",11,99467
"13",12,99456
"14",13,99444
"15",14,99431
"16",15,99415
"17",16,99395
"18",17,99371
"19",18,99342
"20",19,99309
"21",20,99274
"22",21,99239
"23",22,99205
"24",23,99171
"25",24,99137
"26",25,99103
"27",26,99068
"28",27,99033
"29",28,98997
"30",29,98960
"31",30,98921
"32",31,98879
"33",32,98833
"34",33,98782
"35",34,98725
"36",35,98662
"37",36,98593
"38",37,98518
"39",38,98435
"40",39,98343
"41",40,98242
"42",41,98130
"43",42,98007
"44",43,97872
"45",44,97724
"46",45,97563
"47",46,97387
"48",47,97197
"49",48,96993
"50",49,96776
"51",50,96546
"52",51,96304
"53",52,96049
"54",53,95778
"55",54,95489
"56",55,95180
"57",56,94851
"58",57,94501
"59",58,94131
"60",59,93741
"61",60,93329
"62",61,92892
"63",62,92425
"64",63,91923
"65",64,91382
"66",65,90797
"67",66,90164
"68",67,89476
"69",68,88726
"70",69,87907
"71",70,87010
"72",71,86024
"73",72,84941
"74",73,83751
"75",74,82442
"76",75,80998
"77",76,79402
"78",77,77633
"79",78,75671
"80",79,73496
"81",80,71088
"82",81,68423
"83",82,65478
"84",83,62233
"85",84,58680
"86",85,54828
"87",86,50706
"88",87,46362
"89",88,41868
"90",89,37319
"91",90,32821
"92",91,28469
"93",92,24328
"94",93,20444
"95",94,16860
"96",95,13618
"97",96,10750
"98",97,8277
"99",98,6204
"100",99,4516
"101",100,3185
"102",101,2171
"103",102,1426
"104",103,900
"105",104,544
"106",105,314
"107",106,172
"108",107,89
"109",108,44
"110",109,20
"111",110,9
"112",111,4
"113",112,1
