,Category,LivingArea,Address,SaleYYYY,AskingPrice,PriceSold,SaleYYYYMMDD,NumberBedrooms,NumberBathrooms,LotSize,DaysOnMarket,Lat,Lng,Population,avgAge,below15,below24,below44,below64,below65,AvgIncome,below50000,below80000,below100000,below150000,above150001,avgSize,totalHouse,size1,size2,size3,size4,size5,totalFam,Children,NoChildren,Single,Unemploy,Owner,Renter,totaldwelling,before1960,before1980,before1990,before2000,before2005,before2011,University,College,Secondary,Apprentice,No,NonImmigrant,Immigrant,french,English,Others
0,1 1/2 Storey,1700.0,"8845, avenue Henri-Julien Montreal",2010.0,398000.0,380000.0,20100417.0,4.0,1.0,3330.0,29.0,45.5451,-73.642169,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
1,1 1/2 Storey,1093.0,"12225, rue Desenclaves Montreal",2013.0,374000.0,365000.0,20130216.0,3.0,1.0,4311.0,22.0,45.543890999999995,-73.69985799999999,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
2,1 1/2 Storey,924.0,"5125, avenue Beaconsfield Montreal",2013.0,509000.0,509000.0,20130203.0,2.0,2.0,3813.0,15.0,45.474656,-73.63891,165000.0,38,16,14,33,23,14,48594.0,64,19,6,5,6,2.2,74270,40,29,15,15,1,39375,45,33,22,11,26,74,74235,59,29,7,2,1,2,48,15,20,6,11,47,53,32,39,29
3,1 1/2 Storey,1100.0,2466 Viau Montreal Montreal,2012.0,,,20120102.0,2.0,1.0,3900.0,240.0,45.561104,-73.541795,131000.0,41,13,12,32,28,15,47662.0,63,23,7,5,2,1.9,65600,45,32,12,10,1,32060,33,43,24,8,33,67,65630,48,34,9,3,2,4,24,16,22,14,24,80,20,85,5,10
4,1 1/2 Storey,1125.0,"2465, rue Sicard Montreal",2014.0,375000.0,375000.0,20140216.0,2.0,1.0,4213.0,6.0,45.558572999999996,-73.544012,131000.0,41,13,12,32,28,15,47662.0,63,23,7,5,2,1.9,65600,45,32,12,10,1,32060,33,43,24,8,33,67,65630,48,34,9,3,2,4,24,16,22,14,24,80,20,85,5,10
5,1 1/2 Storey,1098.0,"5096, rue Hertel Montreal",2010.0,249900.0,246000.0,20100408.0,3.0,1.0,5580.0,31.0,45.505973,-73.846902,68410.0,38,19,14,25,29,13,74628.0,34,26,13,17,10,2.7,24880,24,28,18,27,3,18810,53,30,17,7,72,28,24890,16,41,20,10,8,5,32,19,25,9,15,61,39,32,47,21
6,1 1/2 Storey,1400.0,"5928, rue AndrÀ_ Montreal",2012.0,,,20120930.0,2.0,2.0,7126.0,120.0,45.501689,-73.567256,68410.0,38,19,14,25,29,13,74628.0,34,26,13,17,10,2.7,24880,24,28,18,27,3,18810,53,30,17,7,72,28,24890,16,41,20,10,8,5,32,19,25,9,15,61,39,32,47,21
7,1 1/2 Storey,1050.0,5564 Waverly Montreal,2010.0,479000.0,465000.0,20101212.0,3.0,1.0,2067.0,63.0,45.524187,-73.60090699999999,100000.0,37,10,14,44,22,10,50556.0,60,21,7,7,5,1.7,56460,53,30,10,6,1,20155,31,52,17,7,27,73,56590,64,24,6,3,1,2,57,14,15,5,9,68,32,67,23,10
8,1 1/2 Storey,1367.0,"182, avenue Champetre Montreal",2010.0,219000.0,211000.0,20100429.0,3.0,2.0,3676.0,43.0,45.629838,-73.505507,106000.0,41,15,14,24,31,16,64459.0,43,26,12,15,4,2.4,42185,28,32,17,20,3,29690,44,35,21,7,63,37,42275,12,29,35,13,5,6,14,16,26,17,27,77,23,72,16,12
9,1 1/2 Storey,921.0,"12237, rue Victoria Montreal",2013.0,239000.0,227000.0,20131210.0,2.0,1.0,5289.0,15.0,45.642889000000004,-73.492295,106000.0,41,15,14,24,31,16,64459.0,43,26,12,15,4,2.4,42185,28,32,17,20,3,29690,44,35,21,7,63,37,42275,12,29,35,13,5,6,14,16,26,17,27,77,23,72,16,12
10,1 1/2 Storey,2289.0,"124, avenue Coolbreeze Montreal",2014.0,559000.0,550000.0,20140218.0,4.0,2.0,12072.0,33.0,45.451727000000005,-73.80337,30790.0,43,15,13,20,31,21,85569.0,36,22,12,17,13,2.5,12065,29,31,16,22,2,8445,49,36,15,6,72,28,12065,42,27,16,6,6,3,40,19,22,8,11,73,27,20,69,11
11,1 1/2 Storey,1247.0,"6856, 29e avenue Montreal",2014.0,359000.0,356000.0,20140501.0,3.0,1.0,3329.0,10.0,45.568544,-73.582729,134000.0,40,13,11,36,26,14,48216.0,63,22,7,6,2,1.8,71705,49,30,11,9,1,31425,34,44,22,8,28,72,71120,60,25,7,4,2,2,36,17,18,11,18,77,23,83,6,11
12,1 1/2 Storey,2621.0,"49, avenue Elmwood Montreal",2012.0,497000.0,446000.0,20120525.0,6.0,3.0,15500.0,240.0,45.518306,-73.603112,920.0,44,16,12,17,33,22,196000.0,27,21,6,15,31,2.6,350,18,41,14,25,2,295,44,46,10,4,86,14,350,63,25,12,0,0,0,49,21,15,7,8,72,28,32,66,2
13,1 1/2 Storey,1162.0,"4180, boulevad Henri-Bourassa Ouest Montreal",2012.0,314888.0,308000.0,20120215.0,4.0,2.0,4370.0,120.0,45.525696999999994,-73.699502,93842.0,39,19,12,30,23,16,61534.0,50,24,8,9,9,2.5,35960,29,28,17,23,3,24775,52,31,17,10,48,52,36005,30,35,12,7,7,9,40,15,21,7,17,46,54,37,26,37
